LO-ID,Subject,S-ID,Topic,T-ID,Start Learning Objective,Learning Objective Verb,Content Learning Objective ,"Level
(Bloom)",BA,MA,ECR,DS,FK,CK,PK,MK,Complete Learning Objective
01_001_0184,Fundamental and comprehensive concepts,01,research data management (RDM)-services,01_009,Learners are able to,carry out,didactic scenarios on the topic of research data management (RDM) services.,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on the topic of research data management (RDM) services.
01_001_0185,Fundamental and comprehensive concepts,01,research data management (RDM)-services,01_009,Learners are able to,design,consultancy scenarios on the topic of research data management (RDM) services.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the topic of research data management (RDM) services.
01_001_0186,Fundamental and comprehensive concepts,01,research data management (RDM)-services,01_010,Learners are able to,carry out,consultancy on the topic of research data management (RDM) services.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the topic of research data management (RDM) services.
01_001_0187,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,name,institutional IT-infrastructures relevant for research data management (RDM).,1,x,x,x,x,x,,,,Learners are able to name institutional IT-infrastructures relevant for research data management (RDM).
01_001_0188,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,name,the specific functions and areas of application of institutional IT-infrastructures.,1,,x,x,x,x,,,,Learners are able to name the specific functions and areas of application of institutional IT-infrastructures.
01_001_0189,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,explain,the specific functions and areas of application of institutional IT-infrastructures.,2,,,x,x,x,x,,,Learners are able to explain the specific functions and areas of application of institutional IT-infrastructures.
01_001_0190,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,name,(inter)national IT-infrastructures relevant for research data management (RDM).,1,,,x,x,x,,,,Learners are able to name (inter)national IT-infrastructures relevant for research data management (RDM).
01_001_0191,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,name,the specific functions and areas of application of (inter)national IT-infrastructures.,1,,,x,x,x,,,,Learners are able to name the specific functions and areas of application of (inter)national IT-infrastructures.
01_001_0192,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,explain,the specific functions and areas of application of (inter)national IT-infrastructures.,2,,,x,x,x,x,,,Learners are able to explain the specific functions and areas of application of (inter)national IT-infrastructures.
01_001_0193,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,apply,IT-infrastructures for research data management (RDM) under guidance.,3,x,x,x,x,x,x,x,,Learners are able to apply IT-infrastructures for research data management (RDM) under guidance.
01_001_0194,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,apply,IT-infrastructures for research data management (RDM) independently.,3,,,x,x,x,x,x,,Learners are able to apply IT-infrastructures for research data management (RDM) independently.
01_001_0195,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,analyse,performance and efficiency of IT-infrastructures for research data management (RDM).,4,,,x,x,x,x,x,,Learners are able to analyse performance and efficiency of IT-infrastructures for research data management (RDM).
01_001_0196,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,evaluate,performance and efficiency of IT-infrastructures for research data management (RDM).,5,,,x,x,x,x,x,x,Learners are able to evaluate performance and efficiency of IT-infrastructures for research data management (RDM).
01_001_0197,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,design,a portfolio of IT-infrastructures.,6,,,,x,x,x,x,x,Learners are able to design a portfolio of IT-infrastructures.
01_001_0198,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,design,didactic scenarios on the topic of IT infrastructures for research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design didactic scenarios on the topic of IT infrastructures for research data management (RDM).
01_001_0199,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,carry out,didactic scenarios on the topic of IT infrastructures for research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out didactic scenarios on the topic of IT infrastructures for research data management (RDM).
01_001_0200,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,design,consultancy scenarios on the topic of IT-infrastructures for research data management (RDM).,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the topic of IT-infrastructures for research data management (RDM).
01_001_0201,Fundamental and comprehensive concepts,01,IT-infrastructures,01_010,Learners are able to,carry out,consultancy on the topic of IT-infrastructures for research data management (RDM).,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the topic of IT-infrastructures for research data management (RDM).
02_001_0202,Working with data,02,Basic terms,02_001,Learners are able to,name,"differences between the terms data types, data formats, file types and file formats.",1,x,x,x,x,x,,,,"Learners are able to name differences between the terms data types, data formats, file types and file formats."
02_001_0203,Working with data,02,Basic terms,02_001,Learners are able to,explain,"differences between the terms data types, data formats, file types and file formats.",2,x,x,x,x,x,x,,,"Learners are able to explain differences between the terms data types, data formats, file types and file formats."
02_001_0204,Working with data,02,Basic terms,02_001,Learners are able to,explain,"differences between structured, unstructured and semi-structured data.",2,x,x,x,x,x,x,,,"Learners are able to explain differences between structured, unstructured and semi-structured data."
02_001_0205,Working with data,02,Basic terms,02_001,Learners are able to,explain,differences between quantitative and qualitative data.,2,x,x,x,x,x,x,,,Learners are able to explain differences between quantitative and qualitative data.
02_001_0206,Working with data,02,Basic terms,02_001,Learners are able to,explain,the concept of data using examples.,2,x,x,x,x,x,x,,,Learners are able to explain the concept of data using examples.
02_001_0207,Working with data,02,Basic terms,02_002,Learners are able to,explain,"differences between data, information and knowledge.",2,x,x,x,x,x,x,,,"Learners are able to explain differences between data, information and knowledge."
02_002_0208,Working with data,02,Data types,02_002,Learners are able to,name,data types.,1,x,x,x,x,x,,,,Learners are able to name data types.
02_002_0209,Working with data,02,Data types,02_002,Learners are able to,explain,data types.,2,,x,x,x,x,x,,,Learners are able to explain data types.
02_002_0210,Working with data,02,Data types,02_002,Learners are able to,apply,data types.,3,x,x,x,x,x,x,x,,Learners are able to apply data types.
02_002_0211,Working with data,02,Data types,02_002,Learners are able to,analyse,data types.,4,,x,x,x,x,x,x,,Learners are able to analyse data types.
02_002_0212,Working with data,02,Data types,02_002,Learners are able to,name,categories of data types.,1,x,x,x,x,x,,,,Learners are able to name categories of data types.
02_002_0213,Working with data,02,Data types,02_002,Learners are able to,explain,categories of data types.,2,,x,x,x,x,x,,,Learners are able to explain categories of data types.
02_002_0214,Working with data,02,Data types,02_002,Learners are able to,apply,categories of data types.,3,,x,x,x,x,x,x,,Learners are able to apply categories of data types.
02_002_0215,Working with data,02,Data types,02_002,Learners are able to,analyse,categories of data types.,4,,x,x,x,x,x,x,,Learners are able to analyse categories of data types.
02_002_0216,Working with data,02,Data types,02_002,Learners are able to,name,basic data structures.,1,x,x,x,x,x,,,,Learners are able to name basic data structures.
02_002_0217,Working with data,02,Data types,02_002,Learners are able to,name,data type requirements.,1,x,x,x,x,x,,,,Learners are able to name data type requirements.
02_002_0218,Working with data,02,Data types,02_002,Learners are able to,name,restrictions on data types.,1,x,x,x,x,x,,,,Learners are able to name restrictions on data types.
02_002_0219,Working with data,02,Data types,02_002,Learners are able to,name,problems with data type conversion.,1,x,x,x,x,x,,,,Learners are able to name problems with data type conversion.
02_002_0220,Working with data,02,Data types,02_002,Learners are able to,explain,problems with data type conversion.,2,,,x,x,x,x,,,Learners are able to explain problems with data type conversion.
02_002_0221,Working with data,02,Data types,02_002,Learners are able to,evaluate,the use of data types.,5,,,x,x,x,x,x,x,Learners are able to evaluate the use of data types.
02_002_0222,Working with data,02,Data types,02_002,Learners are able to,name,the application of operations and functions to data types.,1,x,x,x,x,x,,,,Learners are able to name the application of operations and functions to data types.
02_002_0223,Working with data,02,Data types,02_002,Learners are able to,explain,the application of operations and functions to data types.,2,,x,x,x,x,x,,,Learners are able to explain the application of operations and functions to data types.
02_002_0224,Working with data,02,Data types,02_002,Learners are able to,analyse,the application of operations and functions to data types.,4,,x,x,x,x,x,x,,Learners are able to analyse the application of operations and functions to data types.
02_002_0225,Working with data,02,Data types,02_002,Learners are able to,name,special features of data types with regard to their processing.,1,x,x,x,x,x,,,,Learners are able to name special features of data types with regard to their processing.
02_002_0226,Working with data,02,Data types,02_002,Learners are able to,explain,special features of data types with regard to their processing.,2,,,x,x,x,x,,,Learners are able to explain special features of data types with regard to their processing.
02_002_0227,Working with data,02,Data types,02_002,Learners are able to,evaluate,user-defined object-orientated data types.,5,,,x,x,x,x,x,x,Learners are able to evaluate user-defined object-orientated data types.
02_002_0228,Working with data,02,Data types,02_002,Learners are able to,name,efficiency of data types in terms of storage space.,1,x,x,x,x,x,,,,Learners are able to name efficiency of data types in terms of storage space.
02_002_0229,Working with data,02,Data types,02_002,Learners are able to,analyse,efficiency of data types in terms of storage space.,4,,,x,x,x,x,x,,Learners are able to analyse efficiency of data types in terms of storage space.
02_002_0230,Working with data,02,Data types,02_002,Learners are able to,name,efficiency of data types in terms of processing speed.,1,x,x,x,x,x,,,,Learners are able to name efficiency of data types in terms of processing speed.
02_002_0231,Working with data,02,Data types,02_002,Learners are able to,analyse,efficiency of data types in terms of processing speed.,4,,,x,x,x,x,x,,Learners are able to analyse efficiency of data types in terms of processing speed.
02_002_0232,Working with data,02,Data types,02_002,Learners are able to,design,didactic scenarios on data types.,6,,,x,x,x,x,x,x,Learners are able to design didactic scenarios on data types.
02_002_0233,Working with data,02,Data types,02_002,Learners are able to,carry out,didactic scenarios on data types.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on data types.
02_002_0234,Working with data,02,Data types,02_002,Learners are able to,design,consultancy scenarios on data types.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on data types.
02_002_0235,Working with data,02,Data types,02_002,Learners are able to,carry out,consultancy on data types.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on data types.
02_003_0236,Working with data,02,Data formats,02_003,Learners are able to,name,the difference between structured and unstructured data formats.,1,x,x,x,x,x,,,,Learners are able to name the difference between structured and unstructured data formats.
02_003_0237,Working with data,02,Data formats,02_003,Learners are able to,name,types of data formats.,1,x,x,x,x,x,,,,Learners are able to name types of data formats.
02_003_0238,Working with data,02,Data formats,02_003,Learners are able to,name,categories of data formats.,1,x,x,x,x,x,,,,Learners are able to name categories of data formats.
02_003_0239,Working with data,02,Data formats,02_003,Learners are able to,explain,categories of data formats.,2,,x,x,x,x,x,,,Learners are able to explain categories of data formats.
02_003_0240,Working with data,02,Data formats,02_003,Learners are able to,apply,categories of data formats.,3,x,x,x,x,x,x,x,,Learners are able to apply categories of data formats.
02_003_0241,Working with data,02,Data formats,02_003,Learners are able to,analyse,categories of data formats.,4,,x,x,x,x,x,x,,Learners are able to analyse categories of data formats.
02_003_0242,Working with data,02,Data formats,02_003,Learners are able to,name,areas of application of data formats.,1,x,x,x,x,x,,,,Learners are able to name areas of application of data formats.
02_003_0243,Working with data,02,Data formats,02_003,Learners are able to,explain,areas of application of data formats.,2,,x,x,x,x,x,,,Learners are able to explain areas of application of data formats.
02_003_0244,Working with data,02,Data formats,02_003,Learners are able to,analyse,areas of application of data formats.,4,,x,x,x,x,x,x,,Learners are able to analyse areas of application of data formats.
02_003_0245,Working with data,02,Data formats,02_003,Learners are able to,name,suitable software for certain data formats.,1,x,x,x,x,x,,,,Learners are able to name suitable software for certain data formats.
02_003_0246,Working with data,02,Data formats,02_003,Learners are able to,apply,suitable software for certain data formats.,3,,x,x,x,x,x,x,,Learners are able to apply suitable software for certain data formats.
02_003_0247,Working with data,02,Data formats,02_003,Learners are able to,analyse,suitable software for certain data formats.,4,,x,x,x,x,x,x,,Learners are able to analyse suitable software for certain data formats.
02_003_0248,Working with data,02,Data formats,02_003,Learners are able to,evaluate,suitable software for certain data formats.,5,,,x,x,x,x,x,x,Learners are able to evaluate suitable software for certain data formats.
02_003_0249,Working with data,02,Data formats,02_003,Learners are able to,name,problems and challenges when converting data formats.,1,x,x,x,x,x,,,,Learners are able to name problems and challenges when converting data formats.
02_003_0250,Working with data,02,Data formats,02_003,Learners are able to,explain,problems and challenges when converting data formats.,2,,x,x,x,x,x,,,Learners are able to explain problems and challenges when converting data formats.
02_003_0251,Working with data,02,Data formats,02_003,Learners are able to,analyse,problems and challenges when converting data formats.,4,,x,x,x,x,x,x,,Learners are able to analyse problems and challenges when converting data formats.
02_003_0252,Working with data,02,Data formats,02_003,Learners are able to,name,data validation procedure for data formats.,1,x,x,x,x,x,,,,Learners are able to name data validation procedure for data formats.
02_003_0253,Working with data,02,Data formats,02_003,Learners are able to,explain,data validation procedure for data formats.,2,,x,x,x,x,x,,,Learners are able to explain data validation procedure for data formats.
02_003_0254,Working with data,02,Data formats,02_003,Learners are able to,apply,data validation procedure for data formats.,3,,x,x,x,x,x,x,,Learners are able to apply data validation procedure for data formats.
02_003_0255,Working with data,02,Data formats,02_003,Learners are able to,design,didactic scenarios on the topic of data formats.,6,,,x,x,x,x,x,x,Learners are able to design didactic scenarios on the topic of data formats.
02_003_0256,Working with data,02,Data formats,02_003,Learners are able to,carry out,didactic scenarios on the topic of data formats.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on the topic of data formats.
02_003_0257,Working with data,02,Data formats,02_003,Learners are able to,design,consultancy scenarios on the topic of data formats.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on the topic of data formats.
02_003_0258,Working with data,02,Data formats,02_003,Learners are able to,carry out,consultancy on the topic of data formats.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on the topic of data formats.
02_004_0259,Working with data,02,File types,02_004,Learners are able to,name,file types.,1,x,x,x,x,x,,,,Learners are able to name file types.
02_004_0260,Working with data,02,File types,02_004,Learners are able to,explain,file types.,2,,x,x,x,x,x,,,Learners are able to explain file types.
02_004_0261,Working with data,02,File types,02_004,Learners are able to,apply,file types.,3,x,x,x,x,x,x,x,,Learners are able to apply file types.
02_004_0262,Working with data,02,File types,02_004,Learners are able to,analyse,file types.,4,,x,x,x,x,x,x,,Learners are able to analyse file types.
02_004_0263,Working with data,02,File types,02_004,Learners are able to,name,categories of file types.,1,x,x,x,x,x,,,,Learners are able to name categories of file types.
02_004_0264,Working with data,02,File types,02_004,Learners are able to,explain,categories of file types.,2,,x,x,x,x,x,,,Learners are able to explain categories of file types.
02_004_0265,Working with data,02,File types,02_004,Learners are able to,apply,categories of file types.,3,,x,x,x,x,x,x,,Learners are able to apply categories of file types.
02_004_0266,Working with data,02,File types,02_004,Learners are able to,analyse,categories of file types.,4,,x,x,x,x,x,x,,Learners are able to analyse categories of file types.
02_004_0267,Working with data,02,File types,02_004,Learners are able to,name,restrictions of file types.,1,x,x,x,x,x,,,,Learners are able to name restrictions of file types.
02_004_0268,Working with data,02,File types,02_004,Learners are able to,name,the use of file types.,1,x,x,x,x,x,,,,Learners are able to name the use of file types.
02_004_0269,Working with data,02,File types,02_004,Learners are able to,explain,the use of file types.,2,,x,x,x,x,x,,,Learners are able to explain the use of file types.
02_004_0270,Working with data,02,File types,02_004,Learners are able to,analyse,the use of file types.,4,,x,x,x,x,x,x,,Learners are able to analyse the use of file types.
02_004_0271,Working with data,02,File types,02_004,Learners are able to,evaluate,the use of file types.,5,,x,x,x,x,x,x,x,Learners are able to evaluate the use of file types.
02_004_0272,Working with data,02,File types,02_004,Learners are able to,design,didactic scenarios on file types.,6,,,x,x,x,x,x,x,Learners are able to design didactic scenarios on file types.
02_004_0273,Working with data,02,File types,02_004,Learners are able to,carry out,didactic scenarios on file types.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on file types.
02_004_0274,Working with data,02,File types,02_004,Learners are able to,design,consultancy scenarios on file types.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on file types.
02_004_0275,Working with data,02,File types,02_004,Learners are able to,carry out,consultancy on file types.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on file types.
02_005_0276,Working with data,02,File formats,02_005,Learners are able to,name,file formats.,1,x,x,x,x,x,,,,Learners are able to name file formats.
02_005_0277,Working with data,02,File formats,02_005,Learners are able to,explain,file formats.,2,,x,x,x,x,x,,,Learners are able to explain file formats.
02_005_0278,Working with data,02,File formats,02_005,Learners are able to,apply,file formats.,3,x,x,x,x,x,x,x,,Learners are able to apply file formats.
02_005_0279,Working with data,02,File formats,02_005,Learners are able to,analyse,file formats.,4,,x,x,x,x,x,x,,Learners are able to analyse file formats.
02_005_0280,Working with data,02,File formats,02_005,Learners are able to,name,characteristics of file formats.,1,x,x,x,x,x,,,,Learners are able to name characteristics of file formats.
02_005_0281,Working with data,02,File formats,02_005,Learners are able to,explain,characteristics of file formats.,2,,x,x,x,x,x,,,Learners are able to explain characteristics of file formats.
02_005_0282,Working with data,02,File formats,02_005,Learners are able to,analyse,the interoperability of non-proprietary file formats.,4,,,x,x,x,x,x,,Learners are able to analyse the interoperability of non-proprietary file formats.
02_005_0283,Working with data,02,File formats,02_005,Learners are able to,evaluate,the interoperability of non-proprietary file formats.,5,,,x,x,x,x,x,x,Learners are able to evaluate the interoperability of non-proprietary file formats.
02_005_0284,Working with data,02,File formats,02_005,Learners are able to,name,special features of non-proprietary file formats.,1,x,x,x,x,x,,,,Learners are able to name special features of non-proprietary file formats.
02_005_0285,Working with data,02,File formats,02_005,Learners are able to,explain,relevance of non-proprietary file formats.,2,,x,x,x,x,x,,,Learners are able to explain relevance of non-proprietary file formats.
02_005_0286,Working with data,02,File formats,02_005,Learners are able to,explain,use of non-proprietary file formats.,2,,x,x,x,x,x,,,Learners are able to explain use of non-proprietary file formats.
02_005_0287,Working with data,02,File formats,02_005,Learners are able to,name,file formats for archiving and subsequent use.,1,,x,x,x,x,,,,Learners are able to name file formats for archiving and subsequent use.
02_005_0288,Working with data,02,File formats,02_005,Learners are able to,explain,file formats for archiving and subsequent use.,2,,x,x,x,x,x,,,Learners are able to explain file formats for archiving and subsequent use.
02_005_0289,Working with data,02,File formats,02_005,Learners are able to,analyse,file formats for archiving and subsequent use.,4,,,x,x,x,x,x,,Learners are able to analyse file formats for archiving and subsequent use.
02_005_0290,Working with data,02,File formats,02_005,Learners are able to,evaluate,file formats for archiving and subsequent use.,5,,,x,x,x,x,x,x,Learners are able to evaluate file formats for archiving and subsequent use.
02_005_0291,Working with data,02,File formats,02_005,Learners are able to,apply,file formats for archiving and subsequent use under guidance.,3,x,x,x,x,x,x,x,,Learners are able to apply file formats for archiving and subsequent use under guidance.
02_005_0292,Working with data,02,File formats,02_005,Learners are able to,apply,file formats for archiving and subsequent use independently.,3,,,x,x,x,x,x,,Learners are able to apply file formats for archiving and subsequent use independently.
02_005_0293,Working with data,02,File formats,02_005,Learners are able to,evaluate,challenges in the archiving of file formats.,5,,,x,x,x,x,x,x,Learners are able to evaluate challenges in the archiving of file formats.
02_005_0294,Working with data,02,File formats,02_005,Learners are able to,name,security risks in file formats.,1,,x,x,x,x,,,,Learners are able to name security risks in file formats.
02_005_0295,Working with data,02,File formats,02_005,Learners are able to,name,trends and innovations in the context of file formats.,1,,x,x,x,x,,,,Learners are able to name trends and innovations in the context of file formats.
02_005_0296,Working with data,02,File formats,02_005,Learners are able to,apply,conversion methods to files under guidance.,3,x,x,x,x,x,x,x,,Learners are able to apply conversion methods to files under guidance.
02_005_0297,Working with data,02,File formats,02_005,Learners are able to,apply,conversion methods to files independently.,3,,x,x,x,x,x,x,,Learners are able to apply conversion methods to files independently.
02_005_0298,Working with data,02,File formats,02_005,Learners are able to,apply,data conversion into reusable file formats under guidance.,3,,x,x,x,x,x,x,,Learners are able to apply data conversion into reusable file formats under guidance.
02_005_0299,Working with data,02,File formats,02_005,Learners are able to,apply,data conversion into reusable file formats independently.,3,,,x,x,x,x,x,,Learners are able to apply data conversion into reusable file formats independently.
02_005_0300,Working with data,02,File formats,02_005,Learners are able to,analyse,methods for converting data into reusable file formats.,4,,,x,x,x,x,x,,Learners are able to analyse methods for converting data into reusable file formats.
02_005_0301,Working with data,02,File formats,02_005,Learners are able to,explain,importing various file formats into software.,2,,x,x,x,x,x,,,Learners are able to explain importing various file formats into software.
02_005_0302,Working with data,02,File formats,02_005,Learners are able to,carry out,the import of various file formats into software under guidance.,3,x,x,x,x,x,x,x,,Learners are able to carry out the import of various file formats into software under guidance.
02_005_0303,Working with data,02,File formats,02_005,Learners are able to,carry out,importing various file formats into software independently.,3,,x,x,x,x,x,x,,Learners are able to carry out importing various file formats into software independently.
02_005_0304,Working with data,02,File formats,02_005,Learners are able to,explain,file compatibility.,2,,x,x,x,x,x,,,Learners are able to explain file compatibility.
02_005_0305,Working with data,02,File formats,02_005,Learners are able to,apply,software for file format recognition.,3,,,x,x,x,x,x,,Learners are able to apply software for file format recognition.
02_005_0306,Working with data,02,File formats,02_005,Learners are able to,apply,tools for file format recognition and validation under guidance.,3,x,x,x,x,x,x,x,,Learners are able to apply tools for file format recognition and validation under guidance.
02_005_0307,Working with data,02,File formats,02_005,Learners are able to,apply,tools for file format recognition and validation independently.,3,,x,x,x,x,x,x,,Learners are able to apply tools for file format recognition and validation independently.
02_005_0308,Working with data,02,File formats,02_005,Learners are able to,explain,file interoperability.,2,,x,x,x,x,x,,,Learners are able to explain file interoperability.
02_005_0309,Working with data,02,File formats,02_005,Learners are able to,analyse,file formats with regard to interoperability.,4,,,x,x,x,x,x,,Learners are able to analyse file formats with regard to interoperability.
02_005_0310,Working with data,02,File formats,02_005,Learners are able to,evaluate,file formats with regard to interoperability.,5,,x,x,x,x,x,x,x,Learners are able to evaluate file formats with regard to interoperability.
02_005_0311,Working with data,02,File formats,02_005,Learners are able to,name,metadata in various file formats.,1,x,x,x,x,x,,,,Learners are able to name metadata in various file formats.
02_005_0312,Working with data,02,File formats,02_005,Learners are able to,explain,metadata in various file formats.,2,,x,x,x,x,x,,,Learners are able to explain metadata in various file formats.
02_005_0313,Working with data,02,File formats,02_005,Learners are able to,design,didactic scenarios on file formats.,6,,,x,x,x,x,x,x,Learners are able to design didactic scenarios on file formats.
02_005_0314,Working with data,02,File formats,02_005,Learners are able to,carry out,didactic scenarios on file formats.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on file formats.
02_005_0315,Working with data,02,File formats,02_005,Learners are able to,design,consultancy scenarios on file formats.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on file formats.
02_005_0316,Working with data,02,File formats,02_006,Learners are able to,carry out,consultancy on file formats.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on file formats.
02_006_0317,Working with data,02,File naming,02_006,Learners are able to,name,the components for clear and comprehensible file naming.,1,x,x,x,x,x,,,,Learners are able to name the components for clear and comprehensible file naming.
02_006_0318,Working with data,02,File naming,02_006,Learners are able to,explain,the components for clear and comprehensible file naming.,2,,x,x,x,x,x,,,Learners are able to explain the components for clear and comprehensible file naming.
02_006_0319,Working with data,02,File naming,02_006,Learners are able to,analyse,the components for clear and comprehensible file naming.,4,,x,x,x,x,x,x,,Learners are able to analyse the components for clear and comprehensible file naming.
02_006_0320,Working with data,02,File naming,02_006,Learners are able to,evaluate,the components for clear and comprehensible file naming.,5,,x,x,x,x,x,x,x,Learners are able to evaluate the components for clear and comprehensible file naming.
02_006_0321,Working with data,02,File naming,02_006,Learners are able to,name,file renaming tools.,1,x,x,x,x,x,,,,Learners are able to name file renaming tools.
02_006_0322,Working with data,02,File naming,02_006,Learners are able to,apply,file renaming tools.,3,x,x,x,x,x,x,x,,Learners are able to apply file renaming tools.
02_006_0323,Working with data,02,File naming,02_006,Learners are able to,explain,the term file naming convention.,2,x,x,x,x,x,x,,,Learners are able to explain the term file naming convention.
02_006_0324,Working with data,02,File naming,02_006,Learners are able to,explain,the relevance of systematic file naming.,2,,x,x,x,x,x,,,Learners are able to explain the relevance of systematic file naming.
02_006_0325,Working with data,02,File naming,02_006,Learners are able to,explain,the benefits of systematic file naming.,2,,x,x,x,x,x,,,Learners are able to explain the benefits of systematic file naming.
02_006_0326,Working with data,02,File naming,02_006,Learners are able to,apply,file naming conventions under guidance.,3,x,x,x,x,x,x,x,,Learners are able to apply file naming conventions under guidance.
02_006_0327,Working with data,02,File naming,02_006,Learners are able to,apply,file naming conventions independently.,3,,x,x,x,x,x,x,,Learners are able to apply file naming conventions independently.
02_006_0328,Working with data,02,File naming,02_006,Learners are able to,develop,file naming conventions under guidance.,6,,x,x,x,x,x,x,x,Learners are able to develop file naming conventions under guidance.
02_006_0329,Working with data,02,File naming,02_006,Learners are able to,develop,file naming conventions independently.,6,,x,x,x,x,x,x,x,Learners are able to develop file naming conventions independently.
02_006_0330,Working with data,02,File naming,02_006,Learners are able to,develop,documentation for file naming conventions under guidance.,6,,,x,x,x,x,x,x,Learners are able to develop documentation for file naming conventions under guidance.
02_006_0331,Working with data,02,File naming,02_006,Learners are able to,develop,documentation for file naming conventions independently.,6,,,x,x,x,x,x,x,Learners are able to develop documentation for file naming conventions independently.
02_006_0332,Working with data,02,File naming,02_006,Learners are able to,design,consultancy on file naming topics.,6,,,,x,x,x,x,x,Learners are able to design consultancy on file naming topics.
02_006_0333,Working with data,02,File naming,02_006,Learners are able to,carry out,consultancy on file naming topics.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on file naming topics.
02_006_0334,Working with data,02,File naming,02_006,Learners are able to,design,didactic scenarios on file naming topics.,6,,,x,x,x,x,x,x,Learners are able to design didactic scenarios on file naming topics.
02_006_0335,Working with data,02,File naming,02_006,Learners are able to,carry out,didactic scenarios on file naming topics.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on file naming topics.
02_007_0336,Working with data,02,Folder structures,02_007,Learners are able to,name,concepts for a clear and comprehensible folder structure.,1,x,x,x,x,x,,,,Learners are able to name concepts for a clear and comprehensible folder structure.
02_007_0337,Working with data,02,Folder structures,02_007,Learners are able to,explain,concepts for a clear and comprehensible folder structure.,2,x,x,x,x,x,x,,,Learners are able to explain concepts for a clear and comprehensible folder structure.
02_007_0338,Working with data,02,Folder structures,02_007,Learners are able to,apply,concepts for a clear and comprehensible folder structure.,3,x,x,x,x,x,x,x,,Learners are able to apply concepts for a clear and comprehensible folder structure.
02_007_0339,Working with data,02,Folder structures,02_007,Learners are able to,analyse,concepts for a clear and comprehensible folder structure.,4,,x,x,x,x,x,x,,Learners are able to analyse concepts for a clear and comprehensible folder structure.
02_007_0340,Working with data,02,Folder structures,02_007,Learners are able to,analyse,a folder structure.,4,,,x,x,x,x,x,,Learners are able to analyse a folder structure.
02_007_0341,Working with data,02,Folder structures,02_007,Learners are able to,evaluate,a folder structure.,5,,,x,x,x,x,x,x,Learners are able to evaluate a folder structure.
02_007_0342,Working with data,02,Folder structures,02_007,Learners are able to,develop,a folder structure under guidance.,6,,x,x,x,x,x,x,x,Learners are able to develop a folder structure under guidance.
02_007_0343,Working with data,02,Folder structures,02_007,Learners are able to,develop,a folder structure independently.,6,,x,x,x,x,x,x,x,Learners are able to develop a folder structure independently.
02_007_0344,Working with data,02,Folder structures,02_007,Learners are able to,develop,documentation for folder structures under guidance.,6,,x,x,x,x,x,x,x,Learners are able to develop documentation for folder structures under guidance.
02_007_0345,Working with data,02,Folder structures,02_007,Learners are able to,develop,documentation for folder structures independently.,6,,x,x,x,x,x,x,x,Learners are able to develop documentation for folder structures independently.
02_007_0346,Working with data,02,Folder structures,02_007,Learners are able to,design,didactic scenarios on folder structures.,6,,,x,x,x,x,x,x,Learners are able to design didactic scenarios on folder structures.
02_007_0347,Working with data,02,Folder structures,02_007,Learners are able to,carry out,didactic scenarios on folder structures.,3,,,x,x,x,x,x,,Learners are able to carry out didactic scenarios on folder structures.
02_007_0348,Working with data,02,Folder structures,02_007,Learners are able to,design,consultancy scenarios on folder structures.,6,,,,x,x,x,x,x,Learners are able to design consultancy scenarios on folder structures.
02_007_0349,Working with data,02,Folder structures,02_007,Learners are able to,carry out,consultancy on folder structures.,3,,,,x,x,x,x,,Learners are able to carry out consultancy on folder structures.
