LZ-ID;Themencluster;Cl-ID;Thema;Th-ID;Lernziel Start;Lernziele Inhalt;Lernziel Verb;Stufe (Bloom);BA;MA;ECR;DS;SK;MK;SeK;SoK;Lernziel komplett;;
01_010_0196;Grundlegende und übergreifende Konzepte;01;IT-Infrastrukturen;01_010;Lernende können;Leistungsfähigkeit und Effizienz von IT-Infrastrukturen für das Forschungsdatenmanagement (FDM);bewerten.;5;;;x;x;x;x;;;Lernende können Leistungsfähigkeit und Effizienz von IT-Infrastrukturen für das Forschungsdatenmanagement (FDM) bewerten.;;
01_010_0197;Grundlegende und übergreifende Konzepte;01;IT-Infrastrukturen;01_010;Lernende können;ein Portfolio von IT-Infrastrukturen;konzipieren.;6;;;;x;x;x;x;;Lernende können ein Portfolio von IT-Infrastrukturen konzipieren.;;
01_010_0198;Grundlegende und übergreifende Konzepte;01;IT-Infrastrukturen;01_010;Lernende können;didaktische Szenarien zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können didaktische Szenarien zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM) konzipieren.;;
01_010_0199;Grundlegende und übergreifende Konzepte;01;IT-Infrastrukturen;01_010;Lernende können;didaktische Szenarien zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können didaktische Szenarien zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM) durchführen.;;
01_010_0200;Grundlegende und übergreifende Konzepte;01;IT-Infrastrukturen;01_010;Lernende können;Beratungsszenarien zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM);konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM) konzipieren.;;
01_010_0201;Grundlegende und übergreifende Konzepte;01;IT-Infrastrukturen;01_010;Lernende können;Beratungen zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM);durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungen zum Thema IT-Infrastrukturen für das Forschungsdatenmanagement (FDM) durchführen.;;
02_001_0202;Arbeiten mit Daten;02;Grundbegriffe ;02_001;Lernende können;Unterschiede zwischen den Begriffen Datentypen, Datenformate, Dateitypen und Dateiformate;benennen.;1;x;x;x;x;x;;;;Lernende können Unterschiede zwischen den Begriffen Datentypen, Datenformate, Dateitypen und Dateiformate benennen.;;
02_001_0203;Arbeiten mit Daten;02;Grundbegriffe ;02_001;Lernende können;Unterschiede zwischen den Begriffen Datentypen, Datenformate, Dateitypen und Dateiformate;erläutern.;2;x;x;x;x;x;;;;Lernende können Unterschiede zwischen den Begriffen Datentypen, Datenformate, Dateitypen und Dateiformate erläutern.;;
02_001_0204;Arbeiten mit Daten;02;Grundbegriffe ;02_001;Lernende können;Unterschiede zwischen strukturierten, unstrukturierten und semi-strukturierten Daten;erläutern.;2;x;x;x;x;x;;;;Lernende können Unterschiede zwischen strukturierten, unstrukturierten und semi-strukturierten Daten erläutern.;;
02_001_0205;Arbeiten mit Daten;02;Grundbegriffe ;02_001;Lernende können;den Unterschied zwischen quantitativen und qualitativen Daten;erläutern.;2;x;x;x;x;x;;;;Lernende können den Unterschied zwischen quantitativen und qualitativen Daten erläutern.;;
02_001_0206;Arbeiten mit Daten;02;Grundbegriffe ;02_001;Lernende können;anhand von Beispielen den Begriff Daten;erläutern.;2;x;x;x;x;x;;;;Lernende können anhand von Beispielen den Begriff Daten erläutern.;;
02_001_0207;Arbeiten mit Daten;02;Grundbegriffe ;02_001;Lernende können;Unterschiede zwischen Daten, Information und Wissen;erläutern.;2;x;x;x;x;x;;;;Lernende können Unterschiede zwischen Daten, Information und Wissen erläutern.;;
02_002_0208;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Datentypen;benennen.;1;x;x;x;x;x;;;;Lernende können Datentypen benennen.;;
02_002_0209;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Datentypen;erläutern.;2;;x;x;x;x;;;;Lernende können Datentypen erläutern.;;
02_002_0210;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Datentypen;anwenden.;3;x;x;x;x;x;x;;;Lernende können Datentypen anwenden.;;
02_002_0211;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Datentypen;analysieren.;4;;x;x;x;x;x;;;Lernende können Datentypen analysieren.;;
02_002_0212;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Kategorien von Datentypen;benennen.;1;x;x;x;x;x;;;;Lernende können Kategorien von Datentypen benennen.;;
02_002_0213;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Kategorien von Datentypen;erläutern.;2;;x;x;x;x;;;;Lernende können Kategorien von Datentypen erläutern.;;
02_002_0214;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Kategorien von Datentypen;anwenden.;3;;x;x;x;x;x;;;Lernende können Kategorien von Datentypen anwenden.;;
02_002_0215;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Kategorien von Datentypen;analysieren.;4;;x;x;x;x;x;;;Lernende können Kategorien von Datentypen analysieren.;;
02_002_0216;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;grundlegende Datenstrukturen;benennen.;1;x;x;x;x;x;;;;Lernende können grundlegende Datenstrukturen benennen.;;
02_002_0217;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Anforderungen von Datentypen;benennen.;1;x;x;x;x;x;;;;Lernende können Anforderungen von Datentypen benennen.;;
02_002_0218;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Beschränkungen von Datentypen;benennen.;1;x;x;x;x;x;;;;Lernende können Beschränkungen von Datentypen benennen.;;
02_002_0219;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Probleme bei der Datentypenumwandlung;benennen.;1;x;x;x;x;x;;;;Lernende können Probleme bei der Datentypenumwandlung benennen.;;
02_002_0220;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Probleme bei der Datentypenumwandlung;erläutern.;2;;;x;x;x;;;;Lernende können Probleme bei der Datentypenumwandlung erläutern.;;
02_002_0221;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;die Verwendung von Datentypen;bewerten.;5;;;x;x;x;x;;;Lernende können die Verwendung von Datentypen bewerten.;;
02_002_0222;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;die Anwendung von Operationen und Funktionen auf Datentypen;benennen.;1;x;x;x;x;x;;;;Lernende können die Anwendung von Operationen und Funktionen auf Datentypen benennen.;;
02_002_0223;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;die Anwendung von Operationen und Funktionen auf Datentypen;erläutern.;2;;x;x;x;x;;;;Lernende können die Anwendung von Operationen und Funktionen auf Datentypen erläutern.;;
02_002_0224;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;die Anwendung von Operationen und Funktionen auf Datentypen;analysieren.;4;;x;x;x;x;x;;;Lernende können die Anwendung von Operationen und Funktionen auf Datentypen analysieren.;;
02_002_0225;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Besonderheiten von Datentypen hinsichtlich ihrer Verarbeitung;benennen.;1;x;x;x;x;x;;;;Lernende können Besonderheiten von Datentypen hinsichtlich ihrer Verarbeitung benennen.;;
02_002_0226;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Besonderheiten von Datentypen hinsichtlich ihrer Verarbeitung;erläutern.;2;;;x;x;x;;;;Lernende können Besonderheiten von Datentypen hinsichtlich ihrer Verarbeitung erläutern.;;
02_002_0227;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;benutzerdefinierte objektorientierte Datentypen;bewerten.;5;;;x;x;x;x;;;Lernende können benutzerdefinierte objektorientierte Datentypen bewerten.;;
02_002_0228;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Effizienz von Datentypen im Hinblick auf Speicherplatz;benennen.;1;x;x;x;x;x;;;;Lernende können Effizienz von Datentypen im Hinblick auf Speicherplatz benennen.;;
02_002_0229;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Effizienz von Datentypen im Hinblick auf Speicherplatz;analysieren.;4;;;x;x;x;x;;;Lernende können Effizienz von Datentypen im Hinblick auf Speicherplatz analysieren.;;
02_002_0230;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Effizienz von Datentypen im Hinblick auf Verarbeitungsgeschwindigkeit;benennen.;1;x;x;x;x;x;;;;Lernende können Effizienz von Datentypen im Hinblick auf Verarbeitungsgeschwindigkeit benennen.;;
02_002_0231;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Effizienz von Datentypen im Hinblick auf Verarbeitungsgeschwindigkeit;analysieren.;4;;;x;x;x;x;;;Lernende können Effizienz von Datentypen im Hinblick auf Verarbeitungsgeschwindigkeit analysieren.;;
02_002_0232;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;didaktische Szenarien zu Datentypen;konzipieren.;6;;;x;x;x;x;;;Lernende können didaktische Szenarien zu Datentypen konzipieren.;;
02_002_0233;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;didaktische Szenarien zu Datentypen;durchführen.;3;;;x;x;x;x;x;x;Lernende können didaktische Szenarien zu Datentypen durchführen.;;
02_002_0234;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Beratungsszenarien zu Datentypen;konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zu Datentypen konzipieren.;;
02_002_0235;Arbeiten mit Daten;02;Datentypen;02_002;Lernende können;Beratungen zu Datentypen;durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungen zu Datentypen durchführen.;;
02_003_0236;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;den Unterschied zwischen strukturierten und unstrukturierten Datenformaten;benennen.;1;x;x;x;x;x;;;;Lernende können den Unterschied zwischen strukturierten und unstrukturierten Datenformaten benennen.;;
02_003_0237;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Arten von Datenformaten;benennen.;1;x;x;x;x;x;;;;Lernende können Arten von Datenformaten benennen.;;
02_003_0238;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Kategorien von Datenformaten;benennen.;1;x;x;x;x;x;;;;Lernende können Kategorien von Datenformaten benennen.;;
02_003_0239;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Kategorien von Datenformaten;erläutern.;2;;x;x;x;x;;;;Lernende können Kategorien von Datenformaten erläutern.;;
02_003_0240;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Kategorien von Datenformaten;anwenden.;3;x;x;x;x;x;x;;;Lernende können Kategorien von Datenformaten anwenden.;;
02_003_0241;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Kategorien von Datenformaten;analysieren.;4;;x;x;x;x;x;;;Lernende können Kategorien von Datenformaten analysieren.;;
02_003_0242;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Anwendungsbereiche von Datenformaten;benennen.;1;x;x;x;x;x;;;;Lernende können Anwendungsbereiche von Datenformaten benennen.;;
02_003_0243;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Anwendungsbereiche von Datenformaten;erläutern.;2;;x;x;x;x;;;;Lernende können Anwendungsbereiche von Datenformaten erläutern.;;
02_003_0244;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Anwendungsbereiche von Datenformaten;analysieren.;4;;x;x;x;x;x;;;Lernende können Anwendungsbereiche von Datenformaten analysieren.;;
02_003_0245;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;geeignete Softwares für bestimmte Datenformate;benennen.;1;x;x;x;x;x;;;;Lernende können geeignete Softwares für bestimmte Datenformate benennen.;;
02_003_0246;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;geeignete Softwares für bestimmte Datenformate;anwenden.;3;;x;x;x;x;x;;;Lernende können geeignete Softwares für bestimmte Datenformate anwenden.;;
02_003_0247;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;geeignete Softwares für bestimmte Datenformate;analysieren.;4;;x;x;x;x;x;;;Lernende können geeignete Softwares für bestimmte Datenformate analysieren.;;
02_003_0248;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;geeignete Softwares für bestimmte Datenformate;bewerten.;5;;;x;x;x;;;;Lernende können geeignete Softwares für bestimmte Datenformate bewerten.;;
02_003_0249;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Probleme und Herausforderungen bei der Konvertierung von Datenformaten;benennen.;1;x;x;x;x;x;;;;Lernende können Probleme und Herausforderungen bei der Konvertierung von Datenformaten benennen.;;
02_003_0250;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Probleme und Herausforderungen bei der Konvertierung von Datenformaten;erläutern.;2;;x;x;x;x;;;;Lernende können Probleme und Herausforderungen bei der Konvertierung von Datenformaten erläutern.;;
02_003_0251;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Probleme und Herausforderungen bei der Konvertierung von Datenformaten;analysieren.;4;;x;x;x;x;x;;;Lernende können Probleme und Herausforderungen bei der Konvertierung von Datenformaten analysieren.;;
02_003_0252;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Datenvalidierungsverfahren auf Datenformate;benennen.;1;x;x;x;x;x;;;;Lernende können Datenvalidierungsverfahren auf Datenformate benennen.;;
02_003_0253;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Datenvalidierungsverfahren auf Datenformate;erläutern.;2;;x;x;x;x;;;;Lernende können Datenvalidierungsverfahren auf Datenformate erläutern.;;
02_003_0254;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Datenvalidierungsverfahren auf Datenformate;anwenden.;3;;x;x;x;x;x;;;Lernende können Datenvalidierungsverfahren auf Datenformate anwenden.;;
02_003_0255;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;didaktische Szenarien zum Thema Datenformate;konzipieren.;6;;;x;x;x;x;;;Lernende können didaktische Szenarien zum Thema Datenformate konzipieren.;;
02_003_0256;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;didaktische Szenarien zum Thema Datenformate;durchführen.;3;;;x;x;x;x;x;x;Lernende können didaktische Szenarien zum Thema Datenformate durchführen.;;
02_003_0257;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Beratungsszenarien zum Thema Datenformate;konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zum Thema Datenformate konzipieren.;;
02_003_0258;Arbeiten mit Daten;02;Datenformate;02_003;Lernende können;Beratungen zum Thema Datenformate;durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungen zum Thema Datenformate durchführen.;;
02_004_0259;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Dateitypen;benennen.;1;x;x;x;x;x;;;;Lernende können Dateitypen benennen.;;
02_004_0260;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Dateitypen;erläutern.;2;;x;x;x;x;;;;Lernende können Dateitypen erläutern.;;
02_004_0261;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Dateitypen;anwenden.;3;x;x;x;x;x;x;;;Lernende können Dateitypen anwenden.;;
02_004_0262;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Dateitypen;analysieren.;4;;x;x;x;x;x;;;Lernende können Dateitypen analysieren.;;
02_004_0263;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Kategorien von Dateitypen;benennen.;1;x;x;x;x;x;;;;Lernende können Kategorien von Dateitypen benennen.;;
02_004_0264;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Kategorien von Dateitypen;erläutern.;2;;x;x;x;x;;;;Lernende können Kategorien von Dateitypen erläutern.;;
02_004_0265;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Kategorien von Dateitypen;anwenden.;3;;x;x;x;x;x;;;Lernende können Kategorien von Dateitypen anwenden.;;
02_004_0266;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Kategorien von Dateitypen;analysieren.;4;;x;x;x;x;x;;;Lernende können Kategorien von Dateitypen analysieren.;;
02_004_0267;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Beschränkungen von Dateitypen;benennen.;1;x;x;x;x;x;;;;Lernende können Beschränkungen von Dateitypen benennen.;;
02_004_0268;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;die Verwendung von Dateitypen;benennen.;1;x;x;x;x;x;;;;Lernende können die Verwendung von Dateitypen benennen.;;
02_004_0269;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;die Verwendung von Dateitypen;erläutern.;2;;x;x;x;x;;;;Lernende können die Verwendung von Dateitypen erläutern.;;
02_004_0270;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;die Verwendung von Dateitypen;analysieren.;4;;x;x;x;x;x;;;Lernende können die Verwendung von Dateitypen analysieren.;;
02_004_0271;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;die Verwendung von Dateitypen;bewerten.;5;;x;x;x;x;;;;Lernende können die Verwendung von Dateitypen bewerten.;;
02_004_0272;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;didaktische Szenarien zu Dateitypen;konzipieren.;6;;;x;x;x;x;;;Lernende können didaktische Szenarien zu Dateitypen konzipieren.;;
02_004_0273;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;didaktische Szenarien zu Dateitypen;durchführen.;3;;;x;x;x;x;x;x;Lernende können didaktische Szenarien zu Dateitypen durchführen.;;
02_004_0274;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Beratungsszenarien zu Dateitypen;konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zu Dateitypen konzipieren.;;
02_004_0275;Arbeiten mit Daten;02;Dateitypen;02_004;Lernende können;Beratungen zu Dateitypen;durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungen zu Dateitypen durchführen.;;
02_005_0276;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate;benennen.;1;x;x;x;x;x;;;;Lernende können Dateiformate benennen.;;
02_005_0277;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate;erläutern.;2;;x;x;x;x;;;;Lernende können Dateiformate erläutern.;;
02_005_0278;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate;anwenden.;3;x;x;x;x;x;x;;;Lernende können Dateiformate anwenden.;;
02_005_0279;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate;analysieren.;4;;x;x;x;x;x;;;Lernende können Dateiformate analysieren.;;
02_005_0280;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Merkmale von Dateiformaten;benennen.;1;x;x;x;x;x;;;;Lernende können Merkmale von Dateiformaten benennen.;;
02_005_0281;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Merkmale von Dateiformaten;erläutern.;2;;x;x;x;x;;;;Lernende können Merkmale von Dateiformaten erläutern.;;
02_005_0282;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;die Interoperabilität von nicht proprietären Dateiformaten;analysieren.;4;;;x;x;x;x;;;Lernende können die Interoperabilität von nicht proprietären Dateiformaten analysieren.;;
02_005_0283;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;die Interoperabilität von nicht proprietären Dateiformaten;bewerten.;5;;;x;x;x;;;;Lernende können die Interoperabilität von nicht proprietären Dateiformaten bewerten.;;
02_005_0284;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Besonderheiten von nicht proprietären Dateiformaten;benennen.;1;x;x;x;x;x;;;;Lernende können Besonderheiten von nicht proprietären Dateiformaten benennen.;;
02_005_0285;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Relevanz von nicht proprietären Dateiformaten;erläutern.;2;;x;x;x;x;;;;Lernende können Relevanz von nicht proprietären Dateiformaten erläutern.;;
02_005_0286;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Nutzen von nicht proprietären Dateiformaten;erläutern.;2;;x;x;x;x;;;;Lernende können Nutzen von nicht proprietären Dateiformaten erläutern.;;
02_005_0287;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate für die Archivierung und Nachnutzung;benennen.;1;;x;x;x;x;;;;Lernende können Dateiformate für die Archivierung und Nachnutzung benennen.;;
02_005_0288;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate für die Archivierung und Nachnutzung;erläutern.;2;;x;x;x;x;;;;Lernende können Dateiformate für die Archivierung und Nachnutzung erläutern.;;
02_005_0289;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate für Archivierung und Nachnutzung;analysieren.;4;;;x;x;x;x;;;Lernende können Dateiformate für Archivierung und Nachnutzung analysieren.;;
02_005_0290;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate für Archivierung und Nachnutzung;bewerten.;5;;;x;x;x;x;;;Lernende können Dateiformate für Archivierung und Nachnutzung bewerten.;;
02_005_0291;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;unter Anleitung Dateiformate für Archivierung und Nachnutzung;anwenden.;3;x;x;x;x;x;x;;;Lernende können unter Anleitung Dateiformate für Archivierung und Nachnutzung anwenden.;;
02_005_0292;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;eigenständig Dateiformate für Archivierung und Nachnutzung;anwenden.;3;;;x;x;x;x;;;Lernende können eigenständig Dateiformate für Archivierung und Nachnutzung anwenden.;;
02_005_0293;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Herausforderungen bei der Archivierung von Dateiformaten;bewerten.;5;;;x;x;x;x;;;Lernende können Herausforderungen bei der Archivierung von Dateiformaten bewerten.;;
02_005_0294;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Sicherheitsrisiken in Dateiformaten;benennen.;1;;x;x;x;x;;;;Lernende können Sicherheitsrisiken in Dateiformaten benennen.;;
02_005_0295;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Trends und Innovationen im Kontext von Dateiformaten;benennen.;1;;x;x;x;x;;;;Lernende können Trends und Innovationen im Kontext von Dateiformaten benennen.;;
02_005_0296;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;unter Anleitung Konvertierungsmethoden auf Dateien;anwenden.;3;x;x;x;x;x;x;;;Lernende können unter Anleitung Konvertierungsmethoden auf Dateien anwenden.;;
02_005_0297;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;eigenständig Konvertierungsmethoden auf Dateien;anwenden.;3;;x;x;x;x;x;;;Lernende können eigenständig Konvertierungsmethoden auf Dateien anwenden.;;
02_005_0298;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;unter Anleitung die Datenkonvertierung in nachnutzbare Dateiformate;anwenden.;3;;x;x;x;x;x;;;Lernende können unter Anleitung die Datenkonvertierung in nachnutzbare Dateiformate anwenden.;;
02_005_0299;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;eigenständig die Datenkonvertierung in nachnutzbare Dateiformate;anwenden.;3;;;x;x;x;x;;;Lernende können eigenständig die Datenkonvertierung in nachnutzbare Dateiformate anwenden.;;
02_005_0300;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Methoden zur Datenkonvertierung in nachnutzbare Dateiformate;analysieren.;4;;;x;x;x;x;;;Lernende können Methoden zur Datenkonvertierung in nachnutzbare Dateiformate analysieren.;;
02_005_0301;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Einlesen von verschiedenen Dateiformaten in Softwares;erläutern.;2;;x;x;x;x;;;;Lernende können Einlesen von verschiedenen Dateiformaten in Softwares erläutern.;;
02_005_0302;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;unter Anleitung das Einlesen von verschiedenen Dateiformaten in Softwares;durchführen.;3;x;x;x;x;x;x;;;Lernende können unter Anleitung das Einlesen von verschiedenen Dateiformaten in Softwares durchführen.;;
02_005_0303;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;eigenständig das Einlesen von verschiedenen Dateiformaten in Softwares;durchführen.;3;;x;x;x;x;x;;;Lernende können eigenständig das Einlesen von verschiedenen Dateiformaten in Softwares durchführen.;;
02_005_0304;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateikompatibilität;erläutern.;2;;x;x;x;x;;;;Lernende können Dateikompatibilität erläutern.;;
02_005_0305;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Softwares zur Dateiformaterkennung;anwenden.;3;;;x;x;x;x;;;Lernende können Softwares zur Dateiformaterkennung anwenden.;;
02_005_0306;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;unter Anleitung Werkzeuge zur Dateiformaterkennung und -validierung;anwenden.;3;x;x;x;x;x;x;;;Lernende können unter Anleitung Werkzeuge zur Dateiformaterkennung und -validierung anwenden.;;
02_005_0307;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;eigenständig Werkzeuge zur Dateiformaterkennung und -validierung;anwenden.;3;;x;x;x;x;x;;;Lernende können eigenständig Werkzeuge zur Dateiformaterkennung und -validierung anwenden.;;
02_005_0308;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiinteroperabilität;erläutern.;2;;x;x;x;x;;;;Lernende können Dateiinteroperabilität erläutern.;;
02_005_0309;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate im Hinblick auf Interoperabilität;analysieren.;4;;;x;x;x;x;;;Lernende können Dateiformate im Hinblick auf Interoperabilität analysieren.;;
02_005_0310;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Dateiformate im Hinblick auf Interoperabilität;bewerten.;5;;x;x;x;x;x;;;Lernende können Dateiformate im Hinblick auf Interoperabilität bewerten.;;
02_005_0311;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Metadaten in verschiedenen Dateiformaten;benennen.;1;x;x;x;x;x;;;;Lernende können Metadaten in verschiedenen Dateiformaten benennen.;;
02_005_0312;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Metadaten in verschiedenen Dateiformaten;erläutern.;2;;x;x;x;x;;;;Lernende können Metadaten in verschiedenen Dateiformaten erläutern.;;
02_005_0313;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;didaktische Szenarien zu Dateiformaten;konzipieren.;6;;;x;x;x;x;;;Lernende können didaktische Szenarien zu Dateiformaten konzipieren.;;
02_005_0314;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;didaktische Szenarien zu Dateiformaten;durchführen.;3;;;x;x;x;x;x;x;Lernende können didaktische Szenarien zu Dateiformaten durchführen.;;
02_005_0315;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Beratungsszenarien zu Dateiformaten;konzipieren.;6;;;;x;x;x;;;Lernende können Beratungsszenarien zu Dateiformaten konzipieren.;;
02_005_0316;Arbeiten mit Daten;02;Dateiformate;02_005;Lernende können;Beratungen zu Dateiformaten;durchführen.;3;;;;x;x;x;x;x;Lernende können Beratungen zu Dateiformaten durchführen.;;
02_006_0317;Arbeiten mit Daten;02;Dateibenennungen;02_006;Lernende können;die Bestandteile für eine klare und nachvollziehbare Dateibenennung;benennen.;1;x;x;x;x;x;;;;Lernende können die Bestandteile für eine klare und nachvollziehbare Dateibenennung benennen.;;
02_006_0318;Arbeiten mit Daten;02;Dateibenennungen;02_006;Lernende können;die Bestandteile für eine klare und nachvollziehbare Dateibenennung;erläutern.;2;;x;x;x;x;;;;Lernende können die Bestandteile für eine klare und nachvollziehbare Dateibenennung erläutern.;;
02_006_0319;Arbeiten mit Daten;02;Dateibenennungen;02_006;Lernende können;die Bestandteile für eine klare und nachvollziehbare Dateibenennung;analysieren.;4;;x;x;x;x;x;;;Lernende können die Bestandteile für eine klare und nachvollziehbare Dateibenennung analysieren.;;
